diagnosisId:ID,icdCode,icdVersion,icdTitle,category,:LABEL
d_I959_10,I959,10,"Hypotension, unspecified",Unknown,Diagnosis
d_Y832_10,Y832,10,"Surgical operation with anastomosis, bypass or graft as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Unknown,Diagnosis
d_K5190_10,K5190,10,"Ulcerative colitis, unspecified, without complications",Unknown,Diagnosis
d_E119_10,E119,10,Type 2 diabetes mellitus without complications,Unknown,Diagnosis
d_E785_10,E785,10,"Hyperlipidemia, unspecified",Unknown,Diagnosis
d_J810_10,J810,10,Acute pulmonary edema,Unknown,Diagnosis
d_I255_10,I255,10,Ischemic cardiomyopathy,Unknown,Diagnosis
d_R0902_10,R0902,10,Hypoxemia,Unknown,Diagnosis
d_G4700_10,G4700,10,"Insomnia, unspecified",Unknown,Diagnosis
d_D62_10,D62,10,Acute posthemorrhagic anemia,Unknown,Diagnosis
d_I2510_10,I2510,10,Atherosclerotic heart disease of native coronary artery without angina pectoris,Unknown,Diagnosis
d_Z933_10,Z933,10,Colostomy status,Unknown,Diagnosis
d_Y92230_10,Y92230,10,Patient room in hospital as the place of occurrence of the external cause,Unknown,Diagnosis
d_I9789_10,I9789,10,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified",Unknown,Diagnosis
d_7245_9,7245,9,"Backache, unspecified",Unknown,Diagnosis
d_E8889_9,E8889,9,Unspecified fall,Unknown,Diagnosis
d_6961_9,6961,9,Other psoriasis,Unknown,Diagnosis
d_30390_9,30390,9,"Other and unspecified alcohol dependence, unspecified",Unknown,Diagnosis
d_81201_9,81201,9,Closed fracture of surgical neck of humerus,Unknown,Diagnosis
d_3453_9,3453,9,Grand mal status,Unknown,Diagnosis
d_5855_9,5855,9,"Chronic kidney disease, Stage V",Unknown,Diagnosis
d_85220_9,85220,9,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",Unknown,Diagnosis
d_78451_9,78451,9,Dysarthria,Unknown,Diagnosis
d_V4365_9,V4365,9,Knee joint replacement,Unknown,Diagnosis
d_7843_9,7843,9,Aphasia,Unknown,Diagnosis
d_78830_9,78830,9,"Urinary incontinence, unspecified",Unknown,Diagnosis
d_78194_9,78194,9,Facial weakness,Unknown,Diagnosis
d_40391_9,40391,9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",Unknown,Diagnosis
d_E8490_9,E8490,9,Home accidents,Unknown,Diagnosis
d_V173_9,V173,9,Family history of ischemic heart disease,Unknown,Diagnosis
d_53550_9,53550,9,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",Unknown,Diagnosis
d_2127_9,2127,9,Benign neoplasm of heart,Unknown,Diagnosis
d_V1272_9,V1272,9,Personal history of colonic polyps,Unknown,Diagnosis
d_4556_9,4556,9,Unspecified hemorrhoids without mention of complication,Unknown,Diagnosis
d_V1582_9,V1582,9,Personal history of tobacco use,Unknown,Diagnosis
d_56210_9,56210,9,Diverticulosis of colon (without mention of hemorrhage),Unknown,Diagnosis
d_G40909_10,G40909,10,"Epilepsy, unspecified, not intractable, without status epilepticus",Unknown,Diagnosis
d_Z85850_10,Z85850,10,Personal history of malignant neoplasm of thyroid,Unknown,Diagnosis
d_D1802_10,D1802,10,Hemangioma of intracranial structures,Unknown,Diagnosis
d_80707_9,80707,9,Closed fracture of seven ribs,Unknown,Diagnosis
d_E8809_9,E8809,9,Accidental fall on or from other stairs or steps,Unknown,Diagnosis
d_30500_9,30500,9,"Alcohol abuse, unspecified",Unknown,Diagnosis
d_8600_9,8600,9,Traumatic pneumothorax without mention of open wound into thorax,Unknown,Diagnosis
d_49390_9,49390,9,"Asthma, unspecified type, unspecified",Unknown,Diagnosis
d_E8798_9,E8798,9,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",Unknown,Diagnosis
d_9962_9,9962,9,"Mechanical complication of nervous system device, implant, and graft",Unknown,Diagnosis
d_9010_9,9010,9,Injury to thoracic aorta,Unknown,Diagnosis
d_E8120_9,E8120,9,Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle,Unknown,Diagnosis
d_Z96651_10,Z96651,10,Presence of right artificial knee joint,Unknown,Diagnosis
d_Z6841_10,Z6841,10,"Body mass index (BMI) 40.0-44.9, adult",Unknown,Diagnosis
d_I671_10,I671,10,"Cerebral aneurysm, nonruptured",Unknown,Diagnosis
d_M1712_10,M1712,10,"Unilateral primary osteoarthritis, left knee",Unknown,Diagnosis
d_K2270_10,K2270,10,Barrett's esophagus without dysplasia,Unknown,Diagnosis
d_E669_10,E669,10,"Obesity, unspecified",Unknown,Diagnosis
d_I10_10,I10,10,Essential (primary) hypertension,Unknown,Diagnosis
d_Z7902_10,Z7902,10,Long term (current) use of antithrombotics/antiplatelets,Unknown,Diagnosis
d_4589_9,4589,9,"Hypotension, unspecified",Unknown,Diagnosis
d_V5866_9,V5866,9,Long-term (current) use of aspirin,Unknown,Diagnosis
d_5400_9,5400,9,Acute appendicitis with generalized peritonitis,Unknown,Diagnosis
d_25000_9,25000,9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",Unknown,Diagnosis
d_2720_9,2720,9,Pure hypercholesterolemia,Unknown,Diagnosis
d_V4577_9,V4577,9,"Acquired absence of organ, genital organs",Unknown,Diagnosis
d_V1082_9,V1082,9,Personal history of malignant melanoma of skin,Unknown,Diagnosis
d_2449_9,2449,9,Unspecified acquired hypothyroidism,Unknown,Diagnosis
d_34830_9,34830,9,"Encephalopathy, unspecified",Unknown,Diagnosis
d_2761_9,2761,9,Hyposmolality and/or hyponatremia,Unknown,Diagnosis
d_85186_9,85186,9,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration",Unknown,Diagnosis
d_5070_9,5070,9,Pneumonitis due to inhalation of food or vomitus,Unknown,Diagnosis
d_2910_9,2910,9,Alcohol withdrawal delirium,Unknown,Diagnosis
d_1120_9,1120,9,Candidiasis of mouth,Unknown,Diagnosis
d_78720_9,78720,9,"Dysphagia, unspecified",Unknown,Diagnosis
d_34831_9,34831,9,Metabolic encephalopathy,Unknown,Diagnosis
